SKU;Tên sản phẩm;Danh mục;Giá bán (VND);Mô tả ngắn;URL Ảnh
TENT-6801;Lều chống nước 4 người;Lều trại;1850000;"Lều tự bung với khung sợi thủy tinh siêu nhẹ, chịu được sức gió mạnh trên các đỉnh núi cao. Vải dù Oxford 210D chống thấm tuyệt đối, giữ ấm cực tốt cho các đêm sương giá tại Mẫu Sơn hay Tà Xùa.";https://picsum.photos/800/800?random=1
TENT-6802;Lều cá nhân siêu nhẹ;Lều trại;850000;"Thiết kế thon gọn chỉ nặng 1.2kg, dễ dàng móc vào balo trekking. Cấu trúc 2 lớp thông minh giúp chống sương mù ngưng tụ bên trong, mang lại giấc ngủ khô ráo cho phượt thủ độc hành.";https://picsum.photos/800/800?random=2
TENT-6803;Lều gia đình 6-8 người;Lều trại;2500000;"Không gian cực rộng rãi, chia làm 2 khoang sinh hoạt tiện lợi. Chất vải dày dặn chịu được mưa dầm rả rích liên tục nhiều giờ liền ở các khu vực rừng thiêng nước độc.";https://picsum.photos/800/800?random=3
TENT-6804;Tăng che dã ngoại cỡ lớn;Lều trại;550000;Tấm tăng phủ tráng bạc phản quang giúp chống tia UV và cản gió sương cực đỉnh. Món đồ không thể thiếu làm bạt lót sàn hoặc mái che sinh hoạt chung cho các chuyến tình nguyện dài ngày.;https://picsum.photos/800/800?random=4
BALO-6811;Balo leo núi trợ lực 60L;Balo & Túi chuyên dụng;1450000;"Khung đệm lưng nhôm đúc hình chữ U giúp phân tán lực, giảm hẳn tình trạng đau vai gáy. Chất liệu vải chống rách cao cấp, cọ xát vào đá tai mèo ở Sơn La cũng không lo sờn đứt.";https://picsum.photos/800/800?random=5
BALO-6812;Túi ngủ lông vũ giữ nhiệt;Balo & Túi chuyên dụng;950000;"Lõi lông vũ siêu nhẹ chịu được mức nhiệt âm 5 độ C, cực kỳ lý tưởng cho các đêm đông buốt giá ở vùng cao Lạng Sơn. Túi có khả năng cuộn lại bằng cái chai nước, tiết kiệm diện tích tối đa.";https://picsum.photos/800/800?random=6
BALO-6813;Balo chiến thuật 45L;Balo & Túi chuyên dụng;890000;"Vải 1000D Nylon cực kỳ bền bỉ và form cứng cáp, bảo vệ thiết bị an toàn tuyệt đối. Hệ thống đai Molle thông minh cho phép gắn vô số phụ kiện như bình nước, dao sinh tồn bên ngoài.";https://picsum.photos/800/800?random=7
BALO-6814;Túi khô chống nước 20L;Balo & Túi chuyên dụng;250000;Cứu cánh số 1 khi phải lội suối hoặc hành quân dưới trời mưa rừng nhiệt đới. Cam kết giữ cho toàn bộ quần áo và thiết bị điện tử bên trong luôn khô ráo 100%.;https://picsum.photos/800/800?random=8
SURV-6821;Đèn pin dã ngoại;Đồ sinh tồn & Bảo hộ;290000;"Độ sáng 2000 lumens với khả năng chiếu xa tới 500m, xuyên qua màn sương mù đặc quánh. Pin trâu dùng liên tục 12 tiếng, tích hợp chức năng nháy chớp SOS cứu hộ khẩn cấp.";https://picsum.photos/800/800?random=9
SURV-6822;Bộ nồi dã ngoại gọn nhẹ;Đồ sinh tồn & Bảo hộ;450000;"Làm từ hợp kim nhôm Anodized siêu nhẹ, chống cháy khét và truyền nhiệt cực nhanh. Thiết kế lồng vào nhau gọn gàng như một quả bóng nhỏ, cung cấp những bữa ăn nóng hổi giữa rừng sâu.";https://picsum.photos/800/800?random=10
SURV-6823;Bếp ga mini gấp gọn;Đồ sinh tồn & Bảo hộ;350000;"Công suất tỏa nhiệt mạnh mẽ cùng màng chắn gió thông minh giúp ngọn lửa không bị tạt dù ở trên cao. Thiết kế gấp gọn vừa bằng lòng bàn tay, rất dễ mang theo trong mọi chuyến đi.";https://picsum.photos/800/800?random=11
SURV-6824;Bộ dao sinh tồn đa năng;Đồ sinh tồn & Bảo hộ;150000;"Thép không gỉ cực bén, tích hợp 12 chức năng trong 1 bao gồm cưa cành, mở hộp, đánh lửa khẩn cấp. Đây là công cụ phòng thân và xử lý tình huống thiết yếu cho các chuyến đi thực địa hoang dã.";https://picsum.photos/800/800?random=12
